имя;I_k, Па;f, Дж;k;T_p, К;ro, кг/м^3;alpha_k, м^3/кг;Z_k;k_1;lambda_1;k_2;lambda_2;k_I, 1/К;k_f, 1/К;
11/1 БП;1.0900e+06;9.1600e+05;1.2510e+00;2.4400e+03;1.6000e+03;1.0860e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;3.0000e-04;
12/1 тр БП;1.0900e+06;9.1600e+05;1.2510e+00;2.4400e+03;1.6000e+03;1.0860e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;3.0000e-04;
18/1 тр;1.1000e+06;1.0080e+06;1.2230e+00;2.9350e+03;1.6000e+03;1.0060e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;1.6000e-03;3.0000e-04;
ДГ-4 15/1;1.1200e+06;1.0040e+06;1.2430e+00;2.6500e+03;1.5200e+03;1.0850e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;3.6000e-04;
16/1 тр;1.1300e+06;1.0040e+06;1.2250e+00;2.8950e+03;1.6000e+03;1.0120e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;1.6000e-03;3.0000e-04;
АПЦ-235 П 16/1;1.1400e+06;1.1010e+06;1.2500e+00;3.0600e+03;1.6300e+03;1.0200e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;3.0000e-04;
ДГ-3 14/1;1.1500e+06;9.6800e+05;1.2500e+00;2.5050e+03;1.5200e+03;1.1130e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;4.0000e-04;
17/7;1.1600e+06;1.0000e+06;1.2270e+00;2.8700e+03;1.6000e+03;1.0160e-03;1.5330e+00;7.5300e-01;1.4100e-01;5.2800e-01;-9.3700e-01;1.6000e-03;3.0000e-04;
100/70;1.1600e+06;9.9000e+05;1.2310e+00;2.7950e+03;1.6000e+03;1.0270e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;1.6000e-03;3.0000e-04;
МАП-1 23/1;1.1800e+06;1.2590e+06;1.2570e+00;3.3000e+03;1.6500e+03;1.1200e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;3.0000e-04;
БНГ-1355 25/1;1.2600e+06;1.1250e+06;1.2230e+00;3.3280e+03;1.6300e+03;9.9500e-04;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;3.0000e-04;
НДТ-3 16/1;1.2900e+06;9.6100e+05;1.2550e+00;2.5250e+03;1.5400e+03;1.1310e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;2.2000e-03;4.0000e-04;
22/1 тр;1.3300e+06;9.9800e+05;1.2270e+00;2.8500e+03;1.6000e+03;1.0180e-03;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;1.6000e-03;3.0000e-04;
